2021-11-24 12:45:38,101 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b10'), 1.14267431796e-10
2021-11-24 12:45:38,104 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b9'), 2.06585470264e-10
2021-11-24 12:45:38,106 | customize_polyline_lap | INFO | Joint Found: ('b9', 'b11'), 1.54787875632e-10
2021-11-24 12:45:38,109 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b9'), 1.12811260605e-10
2021-11-24 12:45:38,112 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b4'), 2.05674665977e-10
2021-11-24 12:45:38,115 | customize_polyline_lap | INFO | Joint Found: ('b4', 'b11'), 1.81044424027e-10
2021-11-24 12:45:38,117 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b4'), 1.15133057872e-10
2021-11-24 12:45:38,121 | customize_polyline_lap | INFO | Joint Found: ('b5', 'b16'), 2.77312376876e-10
2021-11-24 12:45:38,123 | customize_polyline_lap | INFO | Joint Found: ('b16', 'b17'), 2.09829810226e-10
2021-11-24 12:45:38,126 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b16'), 2.05676551183e-10
2021-11-24 12:45:38,130 | customize_polyline_lap | INFO | Joint Found: ('b5', 'b6'), 2.34332152689e-10
2021-11-24 12:45:38,132 | customize_polyline_lap | INFO | Joint Found: ('b6', 'b17'), 2.07247082746e-10
2021-11-24 12:45:38,135 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b6'), 2.05815254947e-10
2021-11-24 12:45:38,137 | customize_polyline_lap | INFO | Joint Found: ('b0', 'b5'), 1.20483812975e-07
2021-11-24 12:45:38,140 | customize_polyline_lap | INFO | Joint Found: ('b0', 'b17'), 2.04894876836e-10
2021-11-24 12:45:38,142 | customize_polyline_lap | INFO | Joint Found: ('b0', 'b2'), 1.16427325323e-07
2021-11-24 12:45:38,146 | customize_polyline_lap | INFO | Joint Found: ('b7', 'b14'), 1.35086755433e-10
2021-11-24 12:45:38,151 | customize_polyline_lap | INFO | Joint Found: ('b14', 'b15'), 3.60926472266e-10
2021-11-24 12:45:38,153 | customize_polyline_lap | INFO | Joint Found: ('b5', 'b14'), 2.40919979251e-10
2021-11-24 12:45:38,156 | customize_polyline_lap | INFO | Joint Found: ('b7', 'b13'), 1.34162029387e-10
2021-11-24 12:45:38,159 | customize_polyline_lap | INFO | Joint Found: ('b13', 'b15'), 2.26644911788e-10
2021-11-24 12:45:38,162 | customize_polyline_lap | INFO | Joint Found: ('b5', 'b13'), 2.33150612115e-10
2021-11-24 12:45:38,165 | customize_polyline_lap | INFO | Joint Found: ('b7', 'b12'), 1.36802683759e-10
2021-11-24 12:45:38,168 | customize_polyline_lap | INFO | Joint Found: ('b12', 'b15'), 4.02257448874e-10
2021-11-24 12:45:38,171 | customize_polyline_lap | INFO | Joint Found: ('b5', 'b12'), 2.1520314805e-10
2021-11-24 12:45:38,173 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b18'), 1.14235756831e-10
2021-11-24 12:45:38,177 | customize_polyline_lap | INFO | Joint Found: ('b18', 'b19'), 1.05066322243e-10
2021-11-24 12:45:38,180 | customize_polyline_lap | INFO | Joint Found: ('b7', 'b18'), 1.37931700811e-10
2021-11-24 12:45:38,182 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b8'), 1.14730692854e-10
2021-11-24 12:45:38,185 | customize_polyline_lap | INFO | Joint Found: ('b8', 'b19'), 1.10409060711e-10
2021-11-24 12:45:38,188 | customize_polyline_lap | INFO | Joint Found: ('b7', 'b8'), 1.37680346137e-10
2021-11-24 12:45:38,191 | customize_polyline_lap | INFO | Joint Found: ('b1', 'b3'), 1.13304206042e-10
2021-11-24 12:45:38,193 | customize_polyline_lap | INFO | Joint Found: ('b1', 'b19'), 1.35059628277e-10
2021-11-24 12:45:38,196 | customize_polyline_lap | INFO | Joint Found: ('b1', 'b7'), 1.49689262233e-10
2021-11-24 12:46:11,168 | customize_polyline_lap | INFO |  -- 
2021-11-24 12:46:11,168 | customize_polyline_lap | INFO |  -- 
2021-11-24 12:46:11,168 | customize_polyline_lap | INFO | customize_polyline_lap started with folder: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\left\
2021-11-24 12:46:11,180 | customize_polyline_lap | DEBUG | Structural model_frame: Frame(Point(24468.570, 6204.681, 319.218), Vector(0.985, 0.174, 0.000), Vector(-0.174, 0.985, 0.000))
2021-11-24 12:46:11,184 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\left\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\left\0.txt
2021-11-24 12:46:11,189 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.026,0.],[0.03,0.03],[0.5,0.03],[1.,0.]],[[0.,0.],[0.5,0.09],[0.97,0.03],[1.,0.026],[1.,0.]],[[0.,0.],[0.026,0.],[0.03,0.03],[0.5,0.03],[1.,0.]],[[0.,0.],[0.5,0.09],[0.97,0.03],[1.,0.026],[1.,0.]]]]
2021-11-24 12:46:11,193 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b10'), 2.05692637572e-10
2021-11-24 12:46:11,194 | customize_polyline_lap | DEBUG | [0.0, 0.99999999999997624, 0.0, -0.99999999999997624]
2021-11-24 12:46:11,195 | customize_polyline_lap | DEBUG | [-1.0, 0.0, 1.0, 0.0]
2021-11-24 12:46:11,195 | customize_polyline_lap | INFO | v1_on_side=2 v2_on_side=3
2021-11-24 12:46:11,195 | customize_polyline_lap | INFO |  - rotate CCW
2021-11-24 12:46:13,176 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\left\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\left\1.txt
2021-11-24 12:46:13,178 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.031,0.],[0.05,0.05],[0.5,0.12],[1.,0.]],[[0.,0.],[0.5,0.1],[0.95,0.05],[1.,0.031],[1.,0.]],[[0.,0.],[0.031,0.],[0.05,0.05],[0.5,0.12],[1.,0.]],[[0.,0.],[0.5,0.1],[0.95,0.05],[1.,0.031],[1.,0.]]]]
2021-11-24 12:46:13,182 | customize_polyline_lap | INFO | Joint Found: ('b10', 'b11'), 1.49890135158e-10
2021-11-24 12:46:13,182 | customize_polyline_lap | DEBUG | [0.99999999999997624, -0.34202014332568764, -0.99999999999997624, 0.34202014332568764]
2021-11-24 12:46:13,182 | customize_polyline_lap | DEBUG | [-0.34201991742399673, 0.9999999999999587, 0.34201991742399673, -0.9999999999999587]
2021-11-24 12:46:13,182 | customize_polyline_lap | INFO | v1_on_side=1 v2_on_side=2
2021-11-24 12:46:15,027 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\left\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\left\2.txt
2021-11-24 12:46:15,030 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.038,0.],[0.05,0.05],[0.5,0.18],[0.9,0.1],[0.915,0.],[1.,0.]],[[0.,0.],[0.,0.085],[0.1,0.1],[0.5,0.16],[0.95,0.05],[1.,0.038],[1.,0.]],[[0.,0.],[0.038,0.],[0.05,0.05],[0.5,0.18],[0.9,0.1],[0.915,0.],[1.,0.]],[[0.,0.],[0.,0.085],[0.1,0.1],[0.5,0.16],[0.95,0.05],[1.,0.038],[1.,0.]]]]
2021-11-24 12:46:15,033 | customize_polyline_lap | INFO | Joint Found: ('b3', 'b10'), 1.14267431796e-10
2021-11-24 12:46:15,034 | customize_polyline_lap | DEBUG | [0.0, -0.99999999999997624, 0.0, 0.99999999999997624]
2021-11-24 12:46:15,034 | customize_polyline_lap | DEBUG | [1.0, 0.0, -1.0, 0.0]
2021-11-24 12:46:15,034 | customize_polyline_lap | INFO | v1_on_side=4 v2_on_side=1
2021-11-24 12:46:15,034 | customize_polyline_lap | INFO |  - rotate CCW
2021-11-24 12:46:15,034 | customize_polyline_lap | INFO |  - rotate CCW
2021-11-24 12:46:15,035 | customize_polyline_lap | INFO |  - rotate CCW
2021-11-24 12:46:17,223 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\left\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\left\3.txt
2021-11-24 12:46:17,227 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.05],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.05],[1.,0.]]]]
2021-11-24 12:46:17,230 | customize_polyline_lap | INFO | Joint Found: ('b2', 'b9'), 2.06585470264e-10
2021-11-24 12:46:17,230 | customize_polyline_lap | DEBUG | [0.0, -0.99999999999997624, 0.0, 0.99999999999997624]
2021-11-24 12:46:17,230 | customize_polyline_lap | DEBUG | [-1.0, 0.0, 1.0, 0.0]
2021-11-24 12:46:17,231 | customize_polyline_lap | INFO | v1_on_side=4 v2_on_side=3
2021-11-24 12:46:17,231 | customize_polyline_lap | INFO |  - rotate CCW
