2021-11-24 12:56:32,636 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\22.txt
2021-11-24 12:56:32,640 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.06,0.],[0.06,0.06],[0.5,0.06],[0.94,0.06],[0.94,0.],[1.,0.]],[[0.,0.],[0.,0.06],[0.06,0.06],[0.5,0.06],[0.94,0.06],[1.,0.06],[1.,0.]],[[0.,0.],[0.06,0.],[0.06,0.06],[0.5,0.06],[0.94,0.06],[0.94,0.],[1.,0.]],[[0.,0.],[0.,0.06],[0.06,0.06],[0.5,0.06],[0.94,0.06],[1.,0.06],[1.,0.]]]]
2021-11-24 12:56:32,646 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,646 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\23.txt
2021-11-24 12:56:32,649 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.03,0.],[0.03,0.03],[0.5,0.03],[0.97,0.03],[0.97,0.],[1.,0.]],[[0.,0.],[0.,0.03],[0.03,0.03],[0.5,0.03],[0.97,0.03],[1.,0.03],[1.,0.]],[[0.,0.],[0.03,0.],[0.03,0.03],[0.5,0.03],[0.97,0.03],[0.97,0.],[1.,0.]],[[0.,0.],[0.,0.03],[0.03,0.03],[0.5,0.03],[0.97,0.03],[1.,0.03],[1.,0.]]]]
2021-11-24 12:56:32,654 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,654 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\24.txt
2021-11-24 12:56:32,657 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.07,0.],[0.07,0.07],[0.5,0.08],[0.94,0.06],[0.941,0.],[1.,0.]],[[0.,0.],[0.,0.059],[0.06,0.06],[0.5,0.07],[0.93,0.07],[1.,0.07],[1.,0.]],[[0.,0.],[0.07,0.],[0.07,0.07],[0.5,0.08],[0.94,0.06],[0.941,0.],[1.,0.]],[[0.,0.],[0.,0.059],[0.06,0.06],[0.5,0.07],[0.93,0.07],[1.,0.07],[1.,0.]]]]
2021-11-24 12:56:32,661 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,661 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\25.txt
2021-11-24 12:56:32,666 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.09,0.],[0.1,0.1],[0.5,0.14],[0.9,0.1],[0.91,0.],[1.,0.]],[[0.,0.],[0.,0.09],[0.1,0.1],[0.5,0.14],[0.9,0.1],[1.,0.09],[1.,0.]],[[0.,0.],[0.09,0.],[0.1,0.1],[0.5,0.14],[0.9,0.1],[0.91,0.],[1.,0.]],[[0.,0.],[0.,0.09],[0.1,0.1],[0.5,0.14],[0.9,0.1],[1.,0.09],[1.,0.]]]]
2021-11-24 12:56:32,670 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,670 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\26.txt
2021-11-24 12:56:32,673 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.06,0.],[0.06,0.06],[0.5,0.06],[0.94,0.06],[0.94,0.],[1.,0.]],[[0.,0.],[0.,0.06],[0.06,0.06],[0.5,0.06],[0.94,0.06],[1.,0.06],[1.,0.]],[[0.,0.],[0.06,0.],[0.06,0.06],[0.5,0.06],[0.94,0.06],[0.94,0.],[1.,0.]],[[0.,0.],[0.,0.06],[0.06,0.06],[0.5,0.06],[0.94,0.06],[1.,0.06],[1.,0.]]]]
2021-11-24 12:56:32,677 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,678 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\27.txt
2021-11-24 12:56:32,681 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]]]]
2021-11-24 12:56:32,685 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,685 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\28.txt
2021-11-24 12:56:32,688 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]]]]
2021-11-24 12:56:32,692 | customize_polyline_lap | WARNING | Joint Not Found
2021-11-24 12:56:32,692 | customize_polyline_lap | INFO | File: C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\C:\Users\leungp\Documents\GitHub\integral_timber_joints\external\itj_design_study\211010_CantiBox\joints\mid\29.txt
2021-11-24 12:56:32,695 | customize_polyline_lap | INFO | polyline_string = [50.,[[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]],[[0.,0.],[0.5,0.],[1.,0.]]]]
2021-11-24 12:56:32,702 | customize_polyline_lap | WARNING | Joint Not Found
